candidate_present,canonical_profile_sha256,fault_id,integrity_pass,profile_present,profile_ref,profile_sha_parity,scenario,scenario_local,semantic_bytes_parity,semantic_profile_hash,semantic_sha_parity,semantic_valid,success_h2s
True,aab8967eeb34a2e4919091ca08a5252e9cb3b76ad94c3f54b4b29f4bf37942fe,l_SW_C02_CORE_A_SW_C02_M02_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M02_CTRL.json,True,L_REDSTAR,True,True,18c17651184d7b3b89f9e423b5d09f7ca7dc433b7d803d6d34473b4cfe3cbcd4,True,True,True
True,01ffe696ee8a41af2e13b0d5865986f8cc78c2b86ed53c2d8e8721aec902ec46,l_SW_C02_CORE_A_SW_C02_M03_ACT,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M03_ACT.json,True,L_REDSTAR,True,True,2d1a04efce71c6bee2cd3b07cdcb06518bab72cf019ac91cabbfe073750a591d,True,True,True
True,c2af7116f22d724e79a1237b21f00d78d85a8d1ff4319025750ad2b2f5e62487,l_SW_C02_CORE_A_SW_C02_M03_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M03_CTRL.json,True,L_REDSTAR,True,True,ed8d37319291bf5b2e7ac92bf3087c89d7addb7ff9c4cc9c763dbf6056312de2,True,True,True
True,3d31be9a0efd932df569e801574fb3c90be06db2674eaa027474d0fb91f69d40,l_SW_C02_CORE_A_SW_C02_M04_ACT,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M04_ACT.json,True,L_REDSTAR,True,True,ff56acb5690538eb694c946426c251fde639048957aaa4b6d881e0d04dcaf8be,True,True,True
True,1768a469423bf8e9dfb916c3c139bbc0c25df99637f80a0551ae5710a166e85d,l_SW_C02_CORE_A_SW_C02_M04_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M04_CTRL.json,True,L_REDSTAR,True,True,4876d29bc5050aa0e555a99420e10eeba463df13721410ca1a063b57f07839ad,True,True,True
True,246bfd52868e5eb59a427fd5cbf53c84a3dc3049d81c13d307cc1e1afbae3d2a,l_SW_C02_CORE_A_SW_FACTORY_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_FACTORY_CORE_A.json,True,L_REDSTAR,True,True,ed051bb6cd682ed676b6ec40f365cdaa861e12444e3f73686a262ac56049f52c,True,True,True
True,8424570d0a7fc505a4cae39144637487373e9624081c36c9afaf7984be9083c3,l_SW_C02_CORE_B_SW_C02_M01_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M01_CTRL.json,True,L_REDSTAR,True,True,11863e55c2e2b5f8745e1ba224c71141875f23de361a3aab202d62d0e87b8799,True,True,True
True,ea8c4d98323bae01fac127ce212462af6ba5f4499aaed25d530e0b668bb63f03,l_SW_C02_CORE_B_SW_C02_M01_SENS,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M01_SENS.json,True,L_REDSTAR,True,True,11863e55c2e2b5f8745e1ba224c71141875f23de361a3aab202d62d0e87b8799,True,True,True
True,d62ab1c8472099d3fafbe3fba5b7aca8bd6b533ac930c16b49eb840d1a991f6a,l_SW_C02_CORE_B_SW_C02_M02_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M02_CTRL.json,True,L_REDSTAR,True,True,5f12ceeb57a881e651d8ad1762aa87e3e8a82ce049473265cf3a101f1bf76a49,True,True,True
True,d5de2ef96c6110c541dc9c9a420fe85fea3b4c25764a84792b80b54741d8cacd,l_SW_C02_CORE_B_SW_C02_M02_SENS,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M02_SENS.json,True,L_REDSTAR,True,True,5f12ceeb57a881e651d8ad1762aa87e3e8a82ce049473265cf3a101f1bf76a49,True,True,True
True,359b2c9893e03b07d9e410d5eaf15d704b1b79459ed88cb0fe09c1f8a2180312,l_SW_C02_CORE_B_SW_C02_M03_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M03_CTRL.json,True,L_REDSTAR,True,True,968e2c1f694606129cf9f53f565787c6fc336923d072510dd4e9d2126eb861d9,True,True,True
True,c782a704c2510e4c36385ce7b94d4df73df1774f78483646d559276c58b48640,l_SW_C02_CORE_B_SW_C02_M03_SENS,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M03_SENS.json,True,L_REDSTAR,True,True,968e2c1f694606129cf9f53f565787c6fc336923d072510dd4e9d2126eb861d9,True,True,True
True,693ad61881f405e1ba2f2d514ab36b5f52e313aad8bce41ac4c5b22967b85f20,l_SW_C02_CORE_B_SW_C02_M04_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M04_CTRL.json,True,L_REDSTAR,True,True,a1717691f2f83dd5a6e4d50c73822aacf4825f938d389bc74a43649c525f13e0,True,True,True
True,5395c1aac1dff9e7a4b82ed70eb440138a8e3b28d86d737669db11ffa2a92c88,l_SW_C02_CORE_B_SW_C02_M04_SENS,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_C02_M04_SENS.json,True,L_REDSTAR,True,True,a1717691f2f83dd5a6e4d50c73822aacf4825f938d389bc74a43649c525f13e0,True,True,True
True,a2e8681e67d269799680e3dc28d45af73109ada10f13a255d718f75a98d21789,l_SW_C02_CORE_B_SW_FACTORY_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_B_SW_FACTORY_CORE_A.json,True,L_REDSTAR,True,True,b618a5a80e0ba9e4f04417a4080db78f9806bdc02636e4bfc80512662dc4435f,True,True,True
