fault_ids,profile_count,representative_fault,scenario,semantic_gzip_bytes,semantic_hash,semantic_payload_bytes
l_SW_C06_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C06_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311897,20745dfad94f4b42ccf79c675bd345b12e43bc55ca3b3b22de5e2ef3cfe7db46,7734515
l_SW_C08_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C08_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311850,2191ad25222b5202d6b53d36e8e2bab048c0ed2c0b288c0c564dd81c58be60e5,7733795
l_SW_C12_CORE_B_SW_C12_M02_CTRL;l_SW_C12_CORE_B_SW_C12_M02_SENS,2,l_SW_C12_CORE_B_SW_C12_M02_CTRL,L_REDSTAR,311965,21ab7f3f30b50faae55f181bed22b76a37f6105eb6a9e14446a197fef1a7f667,7733456
l_SW_C16_CORE_A_SW_C16_M01_CTRL,1,l_SW_C16_CORE_A_SW_C16_M01_CTRL,L_REDSTAR,311985,24e4301a32eb2cbdcef862202e1de254c7dc7a535b25543752e64cea40983e2e,7734497
l_SW_C15_CORE_A_SW_C15_M01_ACT,1,l_SW_C15_CORE_A_SW_C15_M01_ACT,L_REDSTAR,311982,264c244dcb0aff8712da8892644d89f1f1d7e9c9b0d4b94bfcb3c32c4baf51b8,7735233
l_SW_C12_CORE_B_SW_C12_M03_CTRL;l_SW_C12_CORE_B_SW_C12_M03_SENS,2,l_SW_C12_CORE_B_SW_C12_M03_CTRL,L_REDSTAR,311993,28bd81c342d29df6665f15c4c33ca2b5716f738e3d4cc4cff19545ba21c2300f,7733456
l_SW_C15_CORE_B_SW_FACTORY_CORE_A,1,l_SW_C15_CORE_B_SW_FACTORY_CORE_A,L_REDSTAR,311921,29947153872e720aa5c38d4bae9541bff31c15b062eef1e29a12e7997645a2dd,7734862
l_SW_C07_CC_SW_C07_CORE_A,1,l_SW_C07_CC_SW_C07_CORE_A,L_REDSTAR,311832,2a5caa76c35044f155a6d1b5c3209ef7b727fee3e7cd7228e4fa90112d8b0e77,7733480
l_SW_C07_CC_SW_C07_CORE_B,1,l_SW_C07_CC_SW_C07_CORE_B,L_REDSTAR,311815,2b4bbc896959267333c9a901fe334e9e3e863c0f81910a378cbcef7ad3f1fe92,7733464
l_SW_C03_CORE_A_SW_C03_M01_CTRL,1,l_SW_C03_CORE_A_SW_C03_M01_CTRL,L_REDSTAR,311998,2be249890380dbf61402989007f1fa17ae8263215828be9ef261d48a13d555be,7734581
l_SW_C04_CORE_B_SW_FACTORY_CORE_A,1,l_SW_C04_CORE_B_SW_FACTORY_CORE_A,L_REDSTAR,311860,2cb599a48704d8d3fc1153870cd58852b5f488a6f015b659babf8768897e4db5,7733779
l_SW_C14_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C14_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311903,2d19e429380d28465d7e1b89653a577af1754e564b181590e7c4dbf32504e9e3,7734896
l_SW_C02_CORE_A_SW_C02_M03_ACT,1,l_SW_C02_CORE_A_SW_C02_M03_ACT,L_REDSTAR,311940,2d1a04efce71c6bee2cd3b07cdcb06518bab72cf019ac91cabbfe073750a591d,7734902
l_SW_C12_CORE_A_SW_C12_M01_ACT,1,l_SW_C12_CORE_A_SW_C12_M01_ACT,L_REDSTAR,311928,2d81ae192203ac388499457e8d7d96e3a69b48fb5e1288ad4ba656fdcc6aa26d,7734892
l_SW_C14_CORE_A_SW_C14_M04_ACT,1,l_SW_C14_CORE_A_SW_C14_M04_ACT,L_REDSTAR,311941,2de2b9fb96bc4ddbdbd1bd58ba6bc38b47fb4d3af77f8b5e0bbdfd0549484500,7734529
l_SW_C09_CORE_A_SW_C09_M02_CTRL,1,l_SW_C09_CORE_A_SW_C09_M02_CTRL,L_REDSTAR,311982,307a32ec1043ac275bc4190b8dd04efe326c57b542e1ff01961fa41c1a369a45,7734156
l_SW_C03_CORE_B_SW_C03_M04_CTRL;l_SW_C03_CORE_B_SW_C03_M04_SENS,2,l_SW_C03_CORE_B_SW_C03_M04_CTRL,L_REDSTAR,311960,3138d88bd2e7601376be3c4c05ced553d7b1742ddb294abbaab799744789fe8f,7733452
l_SW_C01_CORE_A_SW_C01_M04_ACT,1,l_SW_C01_CORE_A_SW_C01_M04_ACT,L_REDSTAR,311991,32518e207fffac42a078268c20322cd6e09e53ce500fc5663baa3daf805cb96b,7735233
l_SW_C12_CORE_A_SW_C12_M03_ACT,1,l_SW_C12_CORE_A_SW_C12_M03_ACT,L_REDSTAR,311928,32c239598f5345e712d34d903b87c3db6eb52a607cc537b6b71736a793e94e80,7734924
l_SW_C12_CORE_B_SW_C12_M04_CTRL;l_SW_C12_CORE_B_SW_C12_M04_SENS,2,l_SW_C12_CORE_B_SW_C12_M04_CTRL,L_REDSTAR,311956,32e57e16a000c59f25701300066270cf72d0846ef52abeac60061f04ab2725c6,7733456
l_SW_C11_CORE_A_SW_C11_M04_ACT,1,l_SW_C11_CORE_A_SW_C11_M04_ACT,L_REDSTAR,311950,3540b874dfa110e8f228bcb2172a40ca003153d8d72ca1a220d7cf4b3e6024a5,7734892
l_SW_C08_CORE_B_SW_C08_M02_CTRL;l_SW_C08_CORE_B_SW_C08_M02_SENS,2,l_SW_C08_CORE_B_SW_C08_M02_CTRL,L_REDSTAR,311971,367c736e32b902abeefb59dd23411f7b860962e5e169f00e0f7d96265203190f,7733456
l_SW_C16_CORE_A_SW_C16_M03_ACT,1,l_SW_C16_CORE_A_SW_C16_M03_ACT,L_REDSTAR,311923,370e7f92e1372e183cbbb26c9f2a5ffce4aa9e667ca8d80205a07a5c68224774,7734529
l_SW_C04_CORE_A_SW_C04_M01_ACT,1,l_SW_C04_CORE_A_SW_C04_M01_ACT,L_REDSTAR,311951,37ac718403d8a1641fd24363ef9a26c6d0ad5191b218fc441367cfd6d635c003,7734904
l_SW_C06_CC_SW_C06_CORE_B,1,l_SW_C06_CC_SW_C06_CORE_B,L_REDSTAR,311815,3a299ec29e0e5f8dec9fa83b9314a086a1226d7d8a86fbda474a4e1f6a2c5530,7733466
l_SW_C07_CORE_A_SW_C07_M03_ACT,1,l_SW_C07_CORE_A_SW_C07_M03_ACT,L_REDSTAR,311913,3b8e3a6618edd7e373a3768a8fa1bdc01fa078303ade05b9e4c05a59b8512b04,7734527
l_SW_C11_CORE_A_SW_C11_M02_ACT,1,l_SW_C11_CORE_A_SW_C11_M02_ACT,L_REDSTAR,311916,3dbc206f35ad1e4be68cd57269b386b76ccfe9ecc141a9e1f4f450e4ee4903b8,7734900
l_SW_C10_CORE_B_SW_C10_M03_CTRL;l_SW_C10_CORE_B_SW_C10_M03_SENS,2,l_SW_C10_CORE_B_SW_C10_M03_CTRL,L_REDSTAR,311981,40b0a5bc26f1d884f6a51f1007592b32ee23423397ff2c4866e18e934c475022,7733456
l_SW_C09_CC_SW_C09_CORE_A,1,l_SW_C09_CC_SW_C09_CORE_A,L_REDSTAR,311811,40c540f92b996a23faf4926886bbd4008275032eb1c78d8c4b910f208c85bf3e,7733123
l_SW_C06_CORE_A_SW_C06_M03_ACT,1,l_SW_C06_CORE_A_SW_C06_M03_ACT,L_REDSTAR,311949,41b97077648e6d5144b6876bb0bb094f110b4f0ea1a361100496e397de1045ac,7734886
l_SW_C16_CORE_A_SW_C16_M04_CTRL,1,l_SW_C16_CORE_A_SW_C16_M04_CTRL,L_REDSTAR,312001,423ad1b4d3546d39df7139389f78472eac45e9585cd1d828c65e5cb37cbfffd8,7734497
l_SW_C11_CORE_A_SW_C11_M03_ACT,1,l_SW_C11_CORE_A_SW_C11_M03_ACT,L_REDSTAR,311927,43b551e3444a06b119c25b67dab03b53c5189cb7187fcaecbc7d6224913c4517,7734892
l_SW_C08_CC_SW_C08_CORE_B,1,l_SW_C08_CC_SW_C08_CORE_B,L_REDSTAR,311792,46b65d6c0553c004e15e22c2abff54c2780fe42a4c5098ca320b3e0ea7c94bf5,7733109
l_SW_C02_CORE_A_SW_C02_M04_CTRL,1,l_SW_C02_CORE_A_SW_C02_M04_CTRL,L_REDSTAR,312012,4876d29bc5050aa0e555a99420e10eeba463df13721410ca1a063b57f07839ad,7734521
l_SW_C04_CORE_B_SW_C04_M02_CTRL;l_SW_C04_CORE_B_SW_C04_M02_SENS,2,l_SW_C04_CORE_B_SW_C04_M02_CTRL,L_REDSTAR,311972,49bbe2219b1ae68041f4ca76d4a37c255d654a2038bc0dd03ade05df87f2aba6,7733460
