affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
1,['TT0183'],0.005,sw0011,sw0012,l_sw0011_sw0012,1,True,True,1,l_sw0011_sw0012,0,S2
1,['TT0185'],0.005,sw0014,sw0015,l_sw0014_sw0015,1,True,True,1,l_sw0014_sw0015,0,S2
1,['TT0187'],0.005,sw0017,sw0018,l_sw0017_sw0018,1,True,True,1,l_sw0017_sw0018,0,S2
1,['TT0189'],0.005,sw0020,sw0021,l_sw0020_sw0021,1,True,True,1,l_sw0020_sw0021,0,S2
1,['TT0191'],0.005,sw0023,sw0024,l_sw0023_sw0024,1,True,True,1,l_sw0023_sw0024,0,S2
1,['TT0116'],0.005,sw0028,sw0029,l_sw0028_sw0029,1,True,True,1,l_sw0028_sw0029,0,S2
1,['TT0195'],0.005,sw0029,sw0030,l_sw0029_sw0030,1,True,True,1,l_sw0029_sw0030,0,S2
1,['TT0043'],0.005,sw0037,sw0038,l_sw0037_sw0038,1,True,True,1,l_sw0037_sw0038,0,S2
1,['TT0161'],0.005,sw0042,sw0043,l_sw0042_sw0043,1,True,True,1,l_sw0042_sw0043,0,S2
1,['TT0165'],0.005,sw0044,sw0045,l_sw0044_sw0045,1,True,True,1,l_sw0044_sw0045,0,S2
1,['TT0167'],0.005,sw0047,sw0048,l_sw0047_sw0048,1,True,True,1,l_sw0047_sw0048,0,S2
1,['TT0169'],0.005,sw0050,sw0051,l_sw0050_sw0051,1,True,True,1,l_sw0050_sw0051,0,S2
1,['TT0171'],0.005,sw0053,sw0054,l_sw0053_sw0054,1,True,True,1,l_sw0053_sw0054,0,S2
1,['TT0173'],0.005,sw0056,sw0057,l_sw0056_sw0057,1,True,True,1,l_sw0056_sw0057,0,S2
2,"['TT0076', 'TT0193']",0.01,sw0026,sw0027,l_sw0026_sw0027,2,True,True,2,l_sw0026_sw0027,0,S2
2,"['TT0001', 'TT0041']",0.01,sw0034,sw0035,l_sw0034_sw0035,2,True,True,2,l_sw0034_sw0035,0,S2
2,"['TT0003', 'TT0199']",0.01,sw0035,sw0036,l_sw0035_sw0036,2,True,True,2,l_sw0035_sw0036,0,S2
2,"['TT0019', 'TT0058']",0.01,sw0059,sw0060,l_sw0059_sw0060,2,True,True,2,l_sw0059_sw0060,1,S2
3,"['TT0037', 'TT0077', 'TT0197']",0.015,sw0036,sw0037,l_sw0036_sw0037,3,True,True,3,l_sw0036_sw0037,1,S2
4,"['TT0021', 'TT0060', 'TT0061', 'TT0100']",0.02,sw0004,sw0005,l_sw0004_sw0005,4,True,True,4,l_sw0004_sw0005,1,S2
4,"['TT0023', 'TT0062', 'TT0063', 'TT0102']",0.02,sw0007,sw0008,l_sw0007_sw0008,4,True,True,4,l_sw0007_sw0008,1,S2
4,"['TT0025', 'TT0064', 'TT0065', 'TT0104']",0.02,sw0010,sw0011,l_sw0010_sw0011,4,True,True,4,l_sw0010_sw0011,1,S2
4,"['TT0027', 'TT0066', 'TT0067', 'TT0106']",0.02,sw0013,sw0014,l_sw0013_sw0014,4,True,True,4,l_sw0013_sw0014,1,S2
4,"['TT0029', 'TT0068', 'TT0069', 'TT0108']",0.02,sw0016,sw0017,l_sw0016_sw0017,4,True,True,4,l_sw0016_sw0017,1,S2
