absolute_shift_ns,absolute_shift_ticks,changed,flow_id,flow_kind,new_release_ticks,original_collision_degree,original_release_ticks,period_ticks,relative_shift_over_period,scale,source,source_egress,tx_ticks
0,0,False,CMD_PLC_C06_M04_A4_C06_M04,ControlCommand,3,0,3,5000,0.0,L,PLC_C06_M04,PLC_C06_M04,11
0,0,False,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,687,0,687,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,975,0,975,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,843,0,843,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,295,0,295,5000,0.0,L,PLC_C07_M01,PLC_C07_M01,11
0,0,False,CMD_PLC_C07_M02_A1_C07_M02,ControlCommand,175,0,175,5000,0.0,L,PLC_C07_M02,PLC_C07_M02,11
0,0,False,CMD_PLC_C07_M02_A2_C07_M02,ControlCommand,982,0,982,5000,0.0,L,PLC_C07_M02,PLC_C07_M02,11
0,0,False,CMD_PLC_C07_M02_A3_C07_M02,ControlCommand,309,0,309,5000,0.0,L,PLC_C07_M02,PLC_C07_M02,11
0,0,False,CMD_PLC_C07_M02_A4_C07_M02,ControlCommand,399,0,399,5000,0.0,L,PLC_C07_M02,PLC_C07_M02,11
0,0,False,CMD_PLC_C07_M03_A1_C07_M03,ControlCommand,761,0,761,5000,0.0,L,PLC_C07_M03,PLC_C07_M03,11
0,0,False,CMD_PLC_C07_M03_A2_C07_M03,ControlCommand,581,0,581,5000,0.0,L,PLC_C07_M03,PLC_C07_M03,11
0,0,False,CMD_PLC_C07_M03_A3_C07_M03,ControlCommand,1,0,1,5000,0.0,L,PLC_C07_M03,PLC_C07_M03,11
0,0,False,CMD_PLC_C07_M03_A4_C07_M03,ControlCommand,402,0,402,5000,0.0,L,PLC_C07_M03,PLC_C07_M03,11
0,0,False,CMD_PLC_C07_M04_A1_C07_M04,ControlCommand,482,0,482,5000,0.0,L,PLC_C07_M04,PLC_C07_M04,11
0,0,False,CMD_PLC_C07_M04_A2_C07_M04,ControlCommand,841,0,841,5000,0.0,L,PLC_C07_M04,PLC_C07_M04,11
0,0,False,CMD_PLC_C07_M04_A3_C07_M04,ControlCommand,646,0,646,5000,0.0,L,PLC_C07_M04,PLC_C07_M04,11
0,0,False,CMD_PLC_C07_M04_A4_C07_M04,ControlCommand,170,0,170,5000,0.0,L,PLC_C07_M04,PLC_C07_M04,11
0,0,False,CMD_PLC_C08_M01_A1_C08_M01,ControlCommand,579,0,579,5000,0.0,L,PLC_C08_M01,PLC_C08_M01,11
0,0,False,CMD_PLC_C08_M01_A2_C08_M01,ControlCommand,248,0,248,5000,0.0,L,PLC_C08_M01,PLC_C08_M01,11
0,0,False,CMD_PLC_C08_M01_A3_C08_M01,ControlCommand,922,0,922,5000,0.0,L,PLC_C08_M01,PLC_C08_M01,11
0,0,False,CMD_PLC_C08_M01_A4_C08_M01,ControlCommand,372,0,372,5000,0.0,L,PLC_C08_M01,PLC_C08_M01,11
0,0,False,CMD_PLC_C08_M02_A1_C08_M02,ControlCommand,911,0,911,5000,0.0,L,PLC_C08_M02,PLC_C08_M02,11
0,0,False,CMD_PLC_C08_M02_A2_C08_M02,ControlCommand,153,0,153,5000,0.0,L,PLC_C08_M02,PLC_C08_M02,11
0,0,False,CMD_PLC_C08_M02_A3_C08_M02,ControlCommand,704,0,704,5000,0.0,L,PLC_C08_M02,PLC_C08_M02,11
0,0,False,CMD_PLC_C08_M02_A4_C08_M02,ControlCommand,535,0,535,5000,0.0,L,PLC_C08_M02,PLC_C08_M02,11
0,0,False,CMD_PLC_C08_M03_A1_C08_M03,ControlCommand,300,0,300,5000,0.0,L,PLC_C08_M03,PLC_C08_M03,11
0,0,False,CMD_PLC_C08_M03_A2_C08_M03,ControlCommand,30,0,30,5000,0.0,L,PLC_C08_M03,PLC_C08_M03,11
0,0,False,CMD_PLC_C08_M03_A3_C08_M03,ControlCommand,330,0,330,5000,0.0,L,PLC_C08_M03,PLC_C08_M03,11
0,0,False,CMD_PLC_C08_M03_A4_C08_M03,ControlCommand,847,0,847,5000,0.0,L,PLC_C08_M03,PLC_C08_M03,11
0,0,False,CMD_PLC_C08_M04_A1_C08_M04,ControlCommand,302,0,302,5000,0.0,L,PLC_C08_M04,PLC_C08_M04,11
0,0,False,CMD_PLC_C08_M04_A2_C08_M04,ControlCommand,788,0,788,5000,0.0,L,PLC_C08_M04,PLC_C08_M04,11
0,0,False,CMD_PLC_C08_M04_A3_C08_M04,ControlCommand,902,0,902,5000,0.0,L,PLC_C08_M04,PLC_C08_M04,11
0,0,False,CMD_PLC_C08_M04_A4_C08_M04,ControlCommand,478,0,478,5000,0.0,L,PLC_C08_M04,PLC_C08_M04,11
0,0,False,CMD_PLC_C09_M01_A1_C09_M01,ControlCommand,17,0,17,5000,0.0,L,PLC_C09_M01,PLC_C09_M01,11
0,0,False,CMD_PLC_C09_M01_A2_C09_M01,ControlCommand,378,0,378,5000,0.0,L,PLC_C09_M01,PLC_C09_M01,11
0,0,False,CMD_PLC_C09_M01_A3_C09_M01,ControlCommand,302,0,302,5000,0.0,L,PLC_C09_M01,PLC_C09_M01,11
0,0,False,CMD_PLC_C09_M01_A4_C09_M01,ControlCommand,997,0,997,5000,0.0,L,PLC_C09_M01,PLC_C09_M01,11
0,0,False,CMD_PLC_C09_M02_A1_C09_M02,ControlCommand,24,0,24,5000,0.0,L,PLC_C09_M02,PLC_C09_M02,11
0,0,False,CMD_PLC_C09_M02_A2_C09_M02,ControlCommand,835,0,835,5000,0.0,L,PLC_C09_M02,PLC_C09_M02,11
0,0,False,CMD_PLC_C09_M02_A3_C09_M02,ControlCommand,432,1,432,5000,0.0,L,PLC_C09_M02,PLC_C09_M02,11
