scenario,policy_id,candidate_group_id,member_count,member_faults,min_jaccard,mean_jaccard,max_edge_distance,mean_path_position_difference,affected_flow_union_count,affected_load_union_bps,shared_synthesis_status,validation_status,accepted,posthoc_mean_recovery_route_jaccard,posthoc_pf_semantic_hash_count
structured20_auto,J040,G0006,4,l_sw06_sw07;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10,0.75,0.8333333333333334,2,1.6666666666666667,4,9440000.0,SAT,PASS,True,0.8774882024882026,4
structured20_auto,J040,G0007,2,l_sw06_sw11;l_sw11_sw16,0.4,0.4,0,1.0,10,21440000.0,SAT,PASS,True,0.7837837837837838,2
structured20_auto,J040,G0008,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,J020,G0001,5,l_sw01_sw02;l_sw01_sw06;l_sw02_sw03;l_sw03_sw04;l_sw04_sw05,0.3,0.5144660894660895,3,2.0,11,21120000.0,NO_ROUTE,NOT_RUN,False,0.8687054367201427,5
structured20_auto,J020,G0001,3,l_sw01_sw02;l_sw02_sw03;l_sw03_sw04,0.5454545454545454,0.6734848484848485,1,1.3333333333333333,11,21120000.0,SAT,PASS,True,0.8401663695781343,3
structured20_auto,J020,G0001,2,l_sw01_sw06;l_sw04_sw05,0.6,0.6,3,4.0,5,9760000.0,SAT,PASS,True,0.8823529411764706,2
structured20_auto,J020,G0002,3,l_sw02_sw08;l_sw13_sw19;l_sw19_sw20,0.5,0.6666666666666666,2,2.0,2,4320000.0,SAT,PASS,True,0.9361559139784946,3
structured20_auto,J020,G0003,3,l_sw03_sw08;l_sw08_sw13;l_sw13_sw18,0.5,0.6666666666666666,1,1.3333333333333333,4,9120000.0,SAT,PASS,True,0.8073073073073074,3
structured20_auto,J020,G0004,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
structured20_auto,J020,G0005,6,l_sw06_sw07;l_sw06_sw11;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10;l_sw11_sw16,0.2727272727272727,0.5341414141414141,4,2.3333333333333335,11,24320000.0,SAT,PASS,True,0.8142514318830109,6
structured20_auto,J020,G0006,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,JE080_D0,G0001,2,l_sw01_sw02;l_sw02_sw03,0.875,0.875,0,1.0,8,15200000.0,SAT,PASS,True,0.8484848484848485,2
structured20_auto,JE080_D0,G0007,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
structured20_auto,JE080_D0,G0008,2,l_sw06_sw07;l_sw07_sw08,1.0,1.0,0,1.0,4,9440000.0,SAT,PASS,True,0.9428571428571428,2
structured20_auto,JE080_D0,G0010,2,l_sw08_sw09;l_sw09_sw10,1.0,1.0,0,1.0,3,6560000.0,SAT,PASS,True,0.9166666666666666,2
structured20_auto,JE080_D0,G0013,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,JE080_D0,G0015,2,l_sw13_sw19;l_sw19_sw20,1.0,1.0,0,1.0,2,4320000.0,SAT,PASS,True,0.9354838709677419,2
structured20_auto,JE080_D1,G0001,2,l_sw01_sw02;l_sw02_sw03,0.875,0.875,0,1.0,8,15200000.0,SAT,PASS,True,0.8484848484848485,2
structured20_auto,JE080_D1,G0005,2,l_sw03_sw08;l_sw13_sw18,1.0,1.0,1,2.0,2,4800000.0,SAT,PASS,True,0.8611111111111112,2
structured20_auto,JE080_D1,G0007,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
structured20_auto,JE080_D1,G0008,2,l_sw06_sw07;l_sw07_sw08,1.0,1.0,0,1.0,4,9440000.0,SAT,PASS,True,0.9428571428571428,2
structured20_auto,JE080_D1,G0010,2,l_sw08_sw09;l_sw09_sw10,1.0,1.0,0,1.0,3,6560000.0,SAT,PASS,True,0.9166666666666666,2
structured20_auto,JE080_D1,G0013,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,JE080_D1,G0014,2,l_sw13_sw19;l_sw19_sw20,1.0,1.0,0,1.0,2,4320000.0,SAT,PASS,True,0.9354838709677419,2
structured20_auto,JE080_D2,G0001,2,l_sw01_sw02;l_sw02_sw03,0.875,0.875,0,1.0,8,15200000.0,SAT,PASS,True,0.8484848484848485,2
