scenario,policy_id,candidate_group_id,member_faults,member_count,min_pairwise_jaccard,mean_pairwise_jaccard,max_edge_distance,predicted_profile_count,pre_fault_only
structured20_auto,JE080_D2,G0009,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0010,l_sw08_sw09;l_sw09_sw10,2,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0011,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0012,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0013,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0014,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,JE080_D2,G0015,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0001,l_sw01_sw02;l_sw02_sw03,2,0.875,0.875,0,1,True
structured20_auto,JE060_D0,G0002,l_sw01_sw06,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0003,l_sw02_sw08,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0004,l_sw03_sw04,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0005,l_sw03_sw08,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0006,l_sw04_sw05,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0007,l_sw04_sw10;l_sw10_sw15,2,0.8,0.8,0,1,True
structured20_auto,JE060_D0,G0008,l_sw06_sw07;l_sw07_sw08,2,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0009,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0010,l_sw08_sw09;l_sw09_sw10,2,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0011,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0012,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0013,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0014,l_sw13_sw18,1,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0015,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,JE060_D0,G0016,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0001,l_sw01_sw02;l_sw02_sw03,2,0.875,0.875,0,1,True
structured20_auto,JE060_D1,G0002,l_sw01_sw06,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0003,l_sw02_sw08,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0004,l_sw03_sw04,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0005,l_sw03_sw08;l_sw13_sw18,2,1.0,1.0,1,1,True
structured20_auto,JE060_D1,G0006,l_sw04_sw05,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0007,l_sw04_sw10;l_sw10_sw15,2,0.8,0.8,0,1,True
structured20_auto,JE060_D1,G0008,l_sw06_sw07;l_sw07_sw08,2,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0009,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0010,l_sw08_sw09;l_sw09_sw10,2,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0011,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0012,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0013,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0014,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,JE060_D1,G0015,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,JE060_D2,G0001,l_sw01_sw02;l_sw02_sw03,2,0.875,0.875,0,1,True
structured20_auto,JE060_D2,G0002,l_sw01_sw06,1,1.0,1.0,0,1,True
structured20_auto,JE060_D2,G0003,l_sw02_sw08,1,1.0,1.0,0,1,True
