scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
mesh10_auto,JE040_D2,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,JE040_D2,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0004
mesh10_auto,JE040_D2,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0002
mesh10_auto,JE040_D2,4,l_sw1_sw2,l_sw2_sw5;l_sw5_sw8,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,1,"[-0.6666666666666666,1,-3,[""l_sw1_sw2"",""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,JE040_D2,5,l_sw4_sw6;l_sw6_sw8,l_sw8_sw10,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,1,"[-0.5,1,-3,[""l_sw4_sw6"",""l_sw6_sw8"",""l_sw8_sw10""]]",G0004
mesh10_auto,JE040_D2,6,l_sw1_sw3,l_sw3_sw4;l_sw4_sw7,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,0.4,1,"[-0.4,1,-3,[""l_sw1_sw3"",""l_sw3_sw4"",""l_sw4_sw7""]]",G0002
structured20_auto,J100,1,l_sw06_sw07,l_sw07_sw08,l_sw06_sw07;l_sw07_sw08,1.0,0,"[-1.0,0,-2,[""l_sw06_sw07"",""l_sw07_sw08""]]",G0009
structured20_auto,J100,2,l_sw08_sw09,l_sw09_sw10,l_sw08_sw09;l_sw09_sw10,1.0,0,"[-1.0,0,-2,[""l_sw08_sw09"",""l_sw09_sw10""]]",G0011
structured20_auto,J100,3,l_sw11_sw17,l_sw17_sw18,l_sw11_sw17;l_sw17_sw18,1.0,0,"[-1.0,0,-2,[""l_sw11_sw17"",""l_sw17_sw18""]]",G0015
structured20_auto,J100,4,l_sw13_sw19,l_sw19_sw20,l_sw13_sw19;l_sw19_sw20,1.0,0,"[-1.0,0,-2,[""l_sw13_sw19"",""l_sw19_sw20""]]",G0016
structured20_auto,J100,5,l_sw03_sw08,l_sw13_sw18,l_sw03_sw08;l_sw13_sw18,1.0,1,"[-1.0,1,-2,[""l_sw03_sw08"",""l_sw13_sw18""]]",G0006
structured20_auto,J080,1,l_sw06_sw07,l_sw07_sw08,l_sw06_sw07;l_sw07_sw08,1.0,0,"[-1.0,0,-2,[""l_sw06_sw07"",""l_sw07_sw08""]]",G0008
structured20_auto,J080,2,l_sw08_sw09,l_sw09_sw10,l_sw08_sw09;l_sw09_sw10,1.0,0,"[-1.0,0,-2,[""l_sw08_sw09"",""l_sw09_sw10""]]",G0010
structured20_auto,J080,3,l_sw11_sw17,l_sw17_sw18,l_sw11_sw17;l_sw17_sw18,1.0,0,"[-1.0,0,-2,[""l_sw11_sw17"",""l_sw17_sw18""]]",G0013
structured20_auto,J080,4,l_sw13_sw19,l_sw19_sw20,l_sw13_sw19;l_sw19_sw20,1.0,0,"[-1.0,0,-2,[""l_sw13_sw19"",""l_sw19_sw20""]]",G0014
structured20_auto,J080,5,l_sw03_sw08,l_sw13_sw18,l_sw03_sw08;l_sw13_sw18,1.0,1,"[-1.0,1,-2,[""l_sw03_sw08"",""l_sw13_sw18""]]",G0005
structured20_auto,J080,6,l_sw01_sw02,l_sw02_sw03,l_sw01_sw02;l_sw02_sw03,0.875,0,"[-0.875,0,-2,[""l_sw01_sw02"",""l_sw02_sw03""]]",G0001
structured20_auto,J080,7,l_sw04_sw10,l_sw10_sw15,l_sw04_sw10;l_sw10_sw15,0.8,0,"[-0.8,0,-2,[""l_sw04_sw10"",""l_sw10_sw15""]]",G0007
structured20_auto,J060,1,l_sw06_sw07,l_sw07_sw08,l_sw06_sw07;l_sw07_sw08,1.0,0,"[-1.0,0,-2,[""l_sw06_sw07"",""l_sw07_sw08""]]",G0007
structured20_auto,J060,2,l_sw08_sw09,l_sw09_sw10,l_sw08_sw09;l_sw09_sw10,1.0,0,"[-1.0,0,-2,[""l_sw08_sw09"",""l_sw09_sw10""]]",G0007
structured20_auto,J060,3,l_sw11_sw17,l_sw17_sw18,l_sw11_sw17;l_sw17_sw18,1.0,0,"[-1.0,0,-2,[""l_sw11_sw17"",""l_sw17_sw18""]]",G0011
structured20_auto,J060,4,l_sw13_sw19,l_sw19_sw20,l_sw13_sw19;l_sw19_sw20,1.0,0,"[-1.0,0,-2,[""l_sw13_sw19"",""l_sw19_sw20""]]",G0012
structured20_auto,J060,5,l_sw03_sw08,l_sw13_sw18,l_sw03_sw08;l_sw13_sw18,1.0,1,"[-1.0,1,-2,[""l_sw03_sw08"",""l_sw13_sw18""]]",G0005
structured20_auto,J060,6,l_sw01_sw02,l_sw02_sw03,l_sw01_sw02;l_sw02_sw03,0.875,0,"[-0.875,0,-2,[""l_sw01_sw02"",""l_sw02_sw03""]]",G0001
structured20_auto,J060,7,l_sw04_sw10,l_sw10_sw15,l_sw04_sw10;l_sw10_sw15,0.8,0,"[-0.8,0,-2,[""l_sw04_sw10"",""l_sw10_sw15""]]",G0006
structured20_auto,J060,8,l_sw06_sw07;l_sw07_sw08,l_sw08_sw09;l_sw09_sw10,l_sw06_sw07;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10,0.75,2,"[-0.75,2,-4,[""l_sw06_sw07"",""l_sw07_sw08"",""l_sw08_sw09"",""l_sw09_sw10""]]",G0007
