scenario,policy_id,fault_id,class_id,class_type,class_size,per_failure_tt_lost,approximate_tt_lost,tt_loss_delta,per_failure_deadline_miss,approximate_deadline_miss,deadline_miss_delta,per_failure_recovery_us,approximate_recovery_us,recovery_delta_us,validation_pass,validation_reused,source_validation_hash
mesh10_auto,JE080_D0,l_sw4_sw6,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,890c52c4ae79f32c8267ddaf1786bdebf8bb64f239e6e390a3206812f3774ea0
mesh10_auto,JE080_D0,l_sw4_sw7,C0005,SHARED,2,0,0,0,0,0,0,84.528,84.528,0.0,True,True,da1b6a8917682b1660cf9f1e5ed0c3f197a3373b8099eb65ac86027df8d728d0
mesh10_auto,JE080_D0,l_sw5_sw8,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,JE080_D0,l_sw6_sw8,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,6e76efbe1c3c92216c929610df9bb734cc4eca4e74d03d8931f707a8eb419ff5
mesh10_auto,JE080_D0,l_sw7_sw9,C0007,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,True,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
mesh10_auto,JE080_D0,l_sw8_sw10,C0008,SINGLETON,1,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,True,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,JE080_D0,l_sw8_sw9,C0009,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,936f3a288fbe3efb890384604ca084870f0dc38cca064cac600d04eed37a4e9d
mesh10_auto,JE080_D1,l_sw1_sw2,C0001,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d3ff52f77535536654e0042444b382ba020d2ad95034afb337fd032c97af0839
mesh10_auto,JE080_D1,l_sw1_sw3,C0002,SINGLETON,1,0,0,0,0,0,0,120.16,120.16,0.0,True,True,fbd10165afae342cbe067118efec6c3db937eade5cef51ff4a6b95440bdda343
mesh10_auto,JE080_D1,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,JE080_D1,l_sw2_sw5,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,JE080_D1,l_sw3_sw4,C0005,SHARED,2,0,0,0,0,0,0,107.728,107.728,0.0,True,True,4de89d05e15de06a24fc6af064d497703bb528a2d16019feb1fbab61bad60ab0
mesh10_auto,JE080_D1,l_sw4_sw6,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,890c52c4ae79f32c8267ddaf1786bdebf8bb64f239e6e390a3206812f3774ea0
mesh10_auto,JE080_D1,l_sw4_sw7,C0005,SHARED,2,0,0,0,0,0,0,84.528,84.528,0.0,True,True,da1b6a8917682b1660cf9f1e5ed0c3f197a3373b8099eb65ac86027df8d728d0
mesh10_auto,JE080_D1,l_sw5_sw8,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,JE080_D1,l_sw6_sw8,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,6e76efbe1c3c92216c929610df9bb734cc4eca4e74d03d8931f707a8eb419ff5
mesh10_auto,JE080_D1,l_sw7_sw9,C0007,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,True,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
