level,connectivity_margin_mean,connectivity_margin_min,fault_id,graph_connected,profile_bytes,raw_status,recovery_hop_count,recovery_route_hash,semantic_profile_hash,smt_solver_wall_us,status,affected_flow_count
R1_CURRENT,3.25,3,l_sw11_sw19,True,61340,SAT,244,895e749e842c08a0de16d1378995425fa0e6650029776ec6f4f87e29b3111326,4c38e5d353435c4bf51c9aa8b2daab0f6fc9b7eac11a3bea0379d71dbd11b746,701157.648,SAT,8
R1_CURRENT,3.25,2,l_sw12_sw13,True,57428,SAT,224,fe1df0f6d54bf7cd3a07a1366b6d646f72018f0797cf75be8a103b320b5e179a,9e26a6079cdd63fde02ee9d2a26e53cf155ed44dd918a80feb1be7ff86e8fb00,574734.042,SAT,4
R1_CURRENT,2.75,2,l_sw13_sw14,True,56318,SAT,226,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,edb36ef0db06fc2296c7d96aaaca183078fb542902c77805b5449a24d8ddd833,588388.257,SAT,4
R1_CURRENT,3.375,3,l_sw13_sw21,True,61500,SAT,242,2126e53677930a39c1f914d5479b64e8b05dc93ee59ad43422a24f92d299c56e,d280bc75210bb3600c175196051f75de45664cd1f9f043867dbd49ff90177509,679572.033,SAT,8
R1_CURRENT,3,2,l_sw14_sw15,True,56307,SAT,226,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,edb36ef0db06fc2296c7d96aaaca183078fb542902c77805b5449a24d8ddd833,586003.669,SAT,4
R1_CURRENT,3.375,3,l_sw15_sw23,True,59840,SAT,236,bebddf6b34b6567b29e79ccdf6d4bdad5685be90b3cfc3c8993626400a9a6375,e8845e3cc1134b082f9efc926e3905d0d6828015a73fc3d878ca76f3c17c5b17,648079.123,SAT,8
R1_CURRENT,2,2,l_sw17_sw18,True,57428,SAT,232,7a6de5d870b3abae414891bf6745f8db4b2d4236c6ba1abb97a63b53cf9dd5a5,10cb2da692202215ec9b7e89a7a4ffa0300ac253681ba931e1de94a62d40bf8d,646597.302,SAT,2
R1_CURRENT,2.5,2,l_sw17_sw25,True,60026,SAT,232,57f0026772788d3625d29cc4cb1711543fde0306e5bf4ffc1ca22783c4e63a24,bfdf142ba1bbed9d4e1d57080d9ce4a93524ab13fcb8aca9c2b992d3c8ec2e2d,619734.343,SAT,8
R1_CURRENT,3,3,l_sw18_sw19,True,57716,SAT,232,a8b511e33ab32120a1f388a5609c34a52da2a892dd6ad849586f8a1394ffcf98,005a1d77313d2451b2e191260a02718693236d80953a10cc90fb4cc23fffd057,641030.0260000001,SAT,2
R1_CURRENT,3,3,l_sw19_sw20,True,56856,SAT,230,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,d422c4d9ca445b042e1341a106101a89a743a36fa016d85efd725dc81f77bb3d,634804.698,SAT,2
R1_CURRENT,3,3,l_sw19_sw27,True,62444,SAT,244,c94873ef89d91a4d3502eb8d1666f4ed96069f836294e93da263f7455b0e6b50,9f8da29168e182dd8ce0ea075d1f4cd0e932101db1ac8a9f5c7af412f9ebc6f1,687682.7629999999,SAT,8
R1_CURRENT,3,3,l_sw20_sw21,True,56864,SAT,230,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,d422c4d9ca445b042e1341a106101a89a743a36fa016d85efd725dc81f77bb3d,629794.4199999999,SAT,2
R1_CURRENT,3,3,l_sw21_sw22,True,57420,SAT,232,f1bc53ab3809893cd2ec4a2ae510d75f662d139c1669c72ce7614e1f77af083e,c6153d7ff3cdef09bab896571d1a299858043924d4390d2e2fb5945daae8530e,638183.8389999999,SAT,2
R1_CURRENT,3.375,3,l_sw21_sw29,True,60145,SAT,240,53c440b03ff2a1ee52699b01d4ff3390e6de01d42ec7e0ee6017fa26f2b40d45,26e5dcaaf5f307562c72a9b56f2128c2390c470a3c8174a7916d26513b9903c9,684249.6649999999,SAT,8
R1_CURRENT,3,3,l_sw22_sw23,True,57709,SAT,232,c4689dd1ab20093be488cb332d8d50440d21361413a68adb4efa3b08d31e46a9,280e46dae779adc26e8d1a96d6a8f232fffc95e89d24710593bf8c0bf4de03bb,642561.176,SAT,2
R1_CURRENT,3,3,l_sw23_sw31,True,61839,SAT,240,974d07d3f7154474a7bb6ae527eb09a80c975129c15954418ee3fdfd0d6596a6,93fbb3f43d4a2124069bdfe588887bc4a00e8b7f11bac2e53435e3c718af4c79,674624.4099999999,SAT,8
R1_CURRENT,1,1,l_sw25_sw33,True,61564,SAT,236,43152beddc8041c25c7550e142e8fbaa0665c72e28611c59624877af83e019b3,531ded94ffda8d2b9303c9e3707896712a9a7378ccf226315f0ac69fe70e2332,642835.873,SAT,4
