affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
6,040bab2ccb532911737eb2dcc345ee502693e454303d4ef9a1b7d4e93d4a9fba,1,l_SW_C08_CORE_A_SW_C08_M01_CTRL,M_REDSTAR,True
8,042c3a550a65c7c5cedeb2505c4c7f9d7f4d66cacc8f28bafb49832737490ff4,1,l_SW_C07_CC_SW_C07_CORE_A,M_REDSTAR,True
8,0450623e8624c7f10f5dbd05c90ef0087b7fa16b676dc47628f46aa88de16db3,2,l_SW_C07_CORE_B_SW_C07_M02_CTRL;l_SW_C07_CORE_B_SW_C07_M02_SENS,M_REDSTAR,True
8,054641b67163f6828007c017e7f3a447a46467d6eb834abad0940b1cc3e5a2b2,2,l_SW_C02_CORE_B_SW_C02_M01_CTRL;l_SW_C02_CORE_B_SW_C02_M01_SENS,M_REDSTAR,True
6,064ebd73b9ca8dfb84fc0a558c47b0fe5c854a3f8af433de91c0e8bc279ce5c3,1,l_SW_C05_CORE_A_SW_C05_M01_CTRL,M_REDSTAR,True
4,0a913ae28a3c2a255af3b4fd44a00e0eb95b1954038f56da026b3f1b0f7a2023,1,l_SW_C05_CORE_A_SW_C05_M02_ACT,M_REDSTAR,True
8,0ea279ce9a900fb27302a8926ed9ad6f8e8ac400792bb87f73f122ba65ee5ac3,1,l_SW_C06_CC_SW_C06_CORE_A,M_REDSTAR,True
6,12664829f822dc2aac891a347e417b4e8f7b020314f6896298cac00c381115c6,1,l_SW_C03_CORE_A_SW_C03_M01_CTRL,M_REDSTAR,True
2,14102e982e6ac72b25752d307b076b3f1069516944b4cbf433ef5196e67361da,2,l_SW_C08_CC_SW_C08_CORE_B;l_SW_C08_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
8,1412c6a387ab1f6c3c5893c1423c6f1ce9bafeffbc1f8b5e9c6f9cf317ca6e26,2,l_SW_C04_CORE_B_SW_C04_M03_CTRL;l_SW_C04_CORE_B_SW_C04_M03_SENS,M_REDSTAR,True
4,16bd6bb79c281f01224e49fe0e556c3c2cd1d2fabba560873ed05340463bd9f5,1,l_SW_C03_CORE_A_SW_C03_M03_ACT,M_REDSTAR,True
8,18715c95acab9359e0f864e3d03aec2e42dbc9fbd839e92d87a7906d8b787b41,2,l_SW_C08_CORE_B_SW_C08_M02_CTRL;l_SW_C08_CORE_B_SW_C08_M02_SENS,M_REDSTAR,True
6,187e6a0eea07dd7de7ab59dba640015079d3ab199d1d64ae3eb798bacc7621c8,1,l_SW_C07_CORE_A_SW_C07_M03_CTRL,M_REDSTAR,True
4,195a7a36d7fd8982112642ec387e4e58a2e919bc7f90841911bc4f8fb1baf373,1,l_SW_C06_CORE_A_SW_C06_M03_ACT,M_REDSTAR,True
8,1d44426a53abf1712e6da5ffd00f0712364fed486b86393852efa7c3cd6f1457,2,l_SW_C03_CORE_B_SW_C03_M02_CTRL;l_SW_C03_CORE_B_SW_C03_M02_SENS,M_REDSTAR,True
2,220b6388e7241a89d3bf7d9c20a95753c53ee97beae69c7dd0227ef77765a300,1,l_SW_C04_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
2,2b042f4f74d6fa59095a5e6563f93212964a415ed790d80ab7ef22c15301a7cc,2,l_SW_C05_CC_SW_C05_CORE_B;l_SW_C05_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
8,2d726b2aa523b7cfb741daa6b4c0c28cc2ee716b9686c4453f341c5365dcf506,2,l_SW_C02_CORE_B_SW_C02_M02_CTRL;l_SW_C02_CORE_B_SW_C02_M02_SENS,M_REDSTAR,True
4,2f8f677c1dee3d1d51bf65176ec92aab927b4ac49d05a97661f14c4bf8ff8d0b,1,l_SW_C08_CORE_A_SW_C08_M02_ACT,M_REDSTAR,True
8,323f2b2958662936dbe205c24e338176e0c40afeefc3240cc4be3487cf3aadd8,2,l_SW_C01_CORE_B_SW_C01_M02_CTRL;l_SW_C01_CORE_B_SW_C01_M02_SENS,M_REDSTAR,True
2,3241e2ff90ba986bb91f42f501db19bf0e7c3ff3111c478cbcb90cc1282d0be5,2,l_SW_C03_CC_SW_C03_CORE_B;l_SW_C03_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
6,342bf5ad273e482e593681c2621355475534a312f0f14d1b35f4769c7dff64cd,1,l_SW_C02_CORE_A_SW_C02_M01_CTRL,M_REDSTAR,True
4,3463ecca6bfd1aab7a8166e1fdfd55d9c90be0d18172cf36d34320f04fd7b518,1,l_SW_C02_CORE_A_SW_C02_M02_ACT,M_REDSTAR,True
6,375ed0ddbe0f462945f03a7fbcd668277027fecbc9271afdf7de80c20ef9c791,1,l_SW_C08_CORE_A_SW_C08_M02_CTRL,M_REDSTAR,True
4,391be1c388c6d427b507a4bd8cf69c166c5140a60281691c8ac32196ca887545,1,l_SW_C02_CORE_A_SW_C02_M03_ACT,M_REDSTAR,True
8,3d51b1e2271231b9e5049a70391325db3a24acb689d7da715f23385efddda09c,2,l_SW_C03_CORE_B_SW_C03_M01_CTRL;l_SW_C03_CORE_B_SW_C03_M01_SENS,M_REDSTAR,True
8,3e529939a7506949ab96b56276d90e645efa618e7e2a8eefa270a824e0c94495,2,l_SW_C04_CORE_B_SW_C04_M01_CTRL;l_SW_C04_CORE_B_SW_C04_M01_SENS,M_REDSTAR,True
8,3fdda915a03fd0be95f11784dc5888085bec961aa07e014feda1d74249b0bcb9,2,l_SW_C05_CORE_B_SW_C05_M03_CTRL;l_SW_C05_CORE_B_SW_C05_M03_SENS,M_REDSTAR,True
2,4527f2b2b4097ef04a5be3d9180522c63f6564157ed72208e05634c4c9294244,1,l_SW_C07_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
8,4a7484d70046631fe2dc1dcff70d9d15cc9ccd5c07fbb9f24ae7a2cef2aafcc6,2,l_SW_C01_CORE_B_SW_C01_M01_CTRL;l_SW_C01_CORE_B_SW_C01_M01_SENS,M_REDSTAR,True
4,4bf30b855078267bc98f03031e1cd15b4470aed26f8b5d5d465f524a012f435d,1,l_SW_C01_CORE_A_SW_C01_M03_ACT,M_REDSTAR,True
8,4f10e42f1816258026fb42b6b7eb3fa7b2bbad4c58eb89295c75adbcce21b9fa,2,l_SW_C03_CORE_B_SW_C03_M03_CTRL;l_SW_C03_CORE_B_SW_C03_M03_SENS,M_REDSTAR,True
6,506dc3ac00202ca5888b34582d54af73cb7344e48f8e31ee42d391a119c02648,1,l_SW_C06_CORE_A_SW_C06_M02_CTRL,M_REDSTAR,True
4,53c1cdf8d979e6077a04b9b33a494c5d5a7aea083b0372768bdfa18fe0f1245d,1,l_SW_C06_CORE_A_SW_C06_M01_ACT,M_REDSTAR,True
2,553cd8dba2c47834222e0b8ca0cd5e463fed26c8bd76fcebe98384fe212b3446,1,l_SW_C08_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
8,5eb7779ddd1e2bb9b135b97c26083eaf4be3ed77910eee1342ecd69cd44a7b88,2,l_SW_C08_CORE_B_SW_C08_M03_CTRL;l_SW_C08_CORE_B_SW_C08_M03_SENS,M_REDSTAR,True
6,60973b0e9bdbbf50ed5e4adf6a4f69f41ce63c1f2b31c08a11b5f47ff31931f5,1,l_SW_C04_CORE_A_SW_C04_M02_CTRL,M_REDSTAR,True
8,61548ea37c77c580826421b643f55a87452be03f612a239d787a876d95302c29,2,l_SW_C05_CORE_B_SW_C05_M02_CTRL;l_SW_C05_CORE_B_SW_C05_M02_SENS,M_REDSTAR,True
4,63254aeedb5b4314ae2c5da96ac9d26eac0ba5ddeafabd7139b1bdf4591dd5ce,1,l_SW_C04_CORE_A_SW_C04_M01_ACT,M_REDSTAR,True
4,65d1ef9e9c6aeb1e96c38c159a47209dd2a35c538fa5d8937a09700036528b78,1,l_SW_C03_CORE_A_SW_C03_M01_ACT,M_REDSTAR,True
4,718bca8d83545479695646fe72c5b89e44a90d01d3b9d28a4041877bdff06928,1,l_SW_C07_CORE_A_SW_C07_M01_ACT,M_REDSTAR,True
2,78ec2f5d694f127a665bc0d5d55931a2d2fbebbadf867296c280dc2b3ccb459d,1,l_SW_C06_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
8,7997ebc29d4c214aec521d8e4fbfd41ac2a60851e477b3c3eb93e177937b86f6,1,l_SW_C08_CC_SW_C08_CORE_A,M_REDSTAR,True
4,7fe851b3dc1a952499b8a239a627da91b2e0afb2a3e59b7eca3c1a08d52e1d42,1,l_SW_C05_CORE_A_SW_C05_M01_ACT,M_REDSTAR,True
8,831ca179f6526f7955aebd38ad34490917be359fa48fd297f8d43b4c2cc2e3f4,1,l_SW_C02_CC_SW_C02_CORE_A,M_REDSTAR,True
4,863dce5cd8049182cec88b2d79b5cd8061c88012e11e3e6dc804441a530c0cb6,1,l_SW_C04_CORE_A_SW_C04_M03_ACT,M_REDSTAR,True
4,87c3e1f1447d2f9d10d3abe86cc59cbb99073150f385ce25efd858018c839ecb,1,l_SW_C05_CORE_A_SW_C05_M03_ACT,M_REDSTAR,True
8,890f1329239601517bccbb23e01f0ed0b2d45b65cd48fa1869d5243787b8b6cc,2,l_SW_C01_CORE_B_SW_C01_M03_CTRL;l_SW_C01_CORE_B_SW_C01_M03_SENS,M_REDSTAR,True
