affected_set_key,fault_ids,group_id,group_size,profile,scenario
2d8d1ffe630b3c46a100750631541a93cd962059e2af506b3ade22afa522a349,l_SW_C14_CORE_A_SW_C14_M04_ACT,FG_380f8e7b6209e149bd664c328666db82f546414f5ea31e0e47a8d982e3814854,1,False,L_REDSTAR
2ef18f2deae8ab2793924e79a6c332960bd8c8644f49da976076e5b0409005df,l_SW_C16_CORE_A_SW_C16_M03_ACT,FG_cd025781ad440c0c747beeb33fb3b5d870aefa6d0f198a5dfbb7687b876e4e7a,1,False,L_REDSTAR
2f04e833f4bf01bd4250bbb5e5c5ec6114f4f6f8d121acbd7841f7f4637840be,l_SW_C11_CORE_A_SW_C11_M04_ACT,FG_9f64a1e2b54f87d08b08ce905aa218070cb8bbf4fa138f6517d0a9b17935b552,1,False,L_REDSTAR
2f8f677c1dee3d1d51bf65176ec92aab927b4ac49d05a97661f14c4bf8ff8d0b,l_SW_C08_CORE_A_SW_C08_M02_ACT,FG_8dfcc2f706a39aa0628904a107187b04848ad3393172a93a915a9d841a1d0519,1,False,L_REDSTAR
3090bf4ca4a6a428e14e335fe7c812b0c354e2bb09426054c70cd90e40e5e148,l_SW_C12_CORE_A_SW_FACTORY_CORE_A,FG_122a4ccdaf8572d9286c2becbe200d255ea78bd73921c520759cbaaadd3cd45d,1,False,L_REDSTAR
311ac76be3a9e71377d664d5ac1a0fe259422145ffcd32b7f1cbc297a4cdffbc,l_SW_C15_CORE_B_SW_C15_M01_CTRL;l_SW_C15_CORE_B_SW_C15_M01_SENS,FG_293382e0b486246aba32769ac006bb6ea47eec5774858e800bca9f46ba80f80e,2,True,L_REDSTAR
31bc5a708c3f6be14299db87a6483b6629a6283a7613532ac1a054bcb6d38def,l_SW_C15_CORE_A_SW_C15_M04_ACT,FG_0f449c30a58697311e5895f1c47c14512c82b3bd3c8e32210da6bcfeffa5dec0,1,False,L_REDSTAR
31d706bcd1000412d7c70ac1ec94c9be6c0180aafd596c024ef4b1b2c7fa3b68,l_SW_C07_CORE_A_SW_C07_M04_ACT,FG_e9095b50ef453882784cbe52958369e3e7c03cb915fff447d3fd9de3baa5c375,1,False,L_REDSTAR
323f2b2958662936dbe205c24e338176e0c40afeefc3240cc4be3487cf3aadd8,l_SW_C01_CORE_B_SW_C01_M02_CTRL;l_SW_C01_CORE_B_SW_C01_M02_SENS,FG_8082e436572b7b5c02408b42938c75cce1706dc08d088708d1c2c5e7be58913a,2,True,L_REDSTAR
3241e2ff90ba986bb91f42f501db19bf0e7c3ff3111c478cbcb90cc1282d0be5,l_SW_C03_CC_SW_C03_CORE_B;l_SW_C03_CORE_B_SW_FACTORY_CORE_A,FG_023d5b01d0781bc5302680307187807c4bd87f1f3cf799e1f97b6e35c0421abe,2,True,L_REDSTAR
336edf22f7bce52a33d717379a0b2da07cfc6fdd592cf25ca436b8651b9cc894,l_SW_C11_CORE_A_SW_C11_M03_CTRL,FG_209671a5daa12db8385049a61fd1be526729609c27937f73a5bdd2df87c2f7cd,1,False,L_REDSTAR
342bf5ad273e482e593681c2621355475534a312f0f14d1b35f4769c7dff64cd,l_SW_C02_CORE_A_SW_C02_M01_CTRL,FG_e572e3fa6ef766fb192b904de6db67fccd40ac83babd6e50824410d1805a6802,1,False,L_REDSTAR
3463ecca6bfd1aab7a8166e1fdfd55d9c90be0d18172cf36d34320f04fd7b518,l_SW_C02_CORE_A_SW_C02_M02_ACT,FG_49f39de800837aa0785789180b5fdb750e07a2250aeb892061038cdd8c8b4fb1,1,False,L_REDSTAR
