case_id,scenario,switch_count,case_type,policy_id,optimize_status,feasibility_status,optimize_z3_ms,feasibility_z3_ms,overhead_ratio,consistent
structured80_auto:PF:l_sw17_sw18,structured80_auto,80,PF,,SAT,SAT,13577.382799,130.18802300000002,104.29056748945331,True
structured80_auto:PF:l_sw17_sw33,structured80_auto,80,PF,,TIMEOUT,SAT,,35.423613,,True
structured80_auto:PF:l_sw18_sw36,structured80_auto,80,PF,,SAT,SAT,12891.662744,122.385063,105.33689674204767,True
structured80_auto:PF:l_sw19_sw20,structured80_auto,80,PF,,SAT,SAT,17250.195257000003,37.933039,454.75384287032745,True
structured80_auto:PF:l_sw19_sw35,structured80_auto,80,PF,,SAT,SAT,16058.134159000001,34.914218,459.9310847804182,True
structured80_auto:PF:l_sw20_sw21,structured80_auto,80,PF,,SAT,SAT,14676.357426999999,36.079292,406.7806382397969,True
structured80_auto:PF:l_sw21_sw22,structured80_auto,80,PF,,SAT,SAT,13648.740738,34.567744999999995,394.84035588667996,True
structured80_auto:PF:l_sw21_sw37,structured80_auto,80,PF,,SAT,SAT,14792.971432,36.58421,404.35399403185147,True
structured80_auto:PF:l_sw22_sw40,structured80_auto,80,PF,,SAT,SAT,13729.461984,34.024723,403.5142911817386,True
structured80_auto:PF:l_sw23_sw24,structured80_auto,80,PF,,SAT,SAT,11885.32458,33.253052999999994,357.42055263316735,True
structured80_auto:PF:l_sw23_sw39,structured80_auto,80,PF,,SAT,SAT,12810.632864000001,33.414359,383.3870601557852,True
structured80_auto:PF:l_sw24_sw25,structured80_auto,80,PF,,SAT,SAT,11340.896974,34.959138,324.4043652907002,True
structured80_auto:PF:l_sw25_sw26,structured80_auto,80,PF,,SAT,SAT,23808.796169,38.436905,619.4254237951781,True
structured80_auto:PF:l_sw25_sw41,structured80_auto,80,PF,,SAT,SAT,13693.59958,33.243664,411.9160745939436,True
structured80_auto:PF:l_sw26_sw44,structured80_auto,80,PF,,SAT,SAT,23695.299119000003,38.115504,621.670885396137,True
structured80_auto:PF:l_sw27_sw28,structured80_auto,80,PF,,SAT,SAT,11796.618601,34.330473,343.61946020959283,True
structured80_auto:PF:l_sw27_sw43,structured80_auto,80,PF,,SAT,SAT,15239.583291,36.395281000000004,418.72415522770655,True
structured80_auto:PF:l_sw28_sw29,structured80_auto,80,PF,,SAT,SAT,12370.137889,34.618128999999996,357.33120900323644,True
structured80_auto:PF:l_sw29_sw30,structured80_auto,80,PF,,SAT,SAT,12255.797358,34.47899,355.4569712743905,True
structured80_auto:PF:l_sw29_sw45,structured80_auto,80,PF,,SAT,SAT,12956.05422,34.573892,374.7351967201147,True
structured80_auto:PF:l_sw30_sw48,structured80_auto,80,PF,,SAT,SAT,12291.534837000001,34.969276,351.49526221246333,True
structured80_auto:PF:l_sw31_sw47,structured80_auto,80,PF,,SAT,SAT,17329.281202000002,42.821641,404.68512642941454,True
structured80_auto:PF:l_sw33_sw34,structured80_auto,80,PF,,SAT,SAT,14338.684701,37.86019,378.7272251142955,True
structured80_auto:PF:l_sw33_sw49,structured80_auto,80,PF,,SAT,SAT,13609.735218999998,35.406251,384.3879211893967,True
