case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured30_auto:SHARED:J040:2052020b308ed48e,structured30_auto,30,SHARED,J040,30,124,125,544,111,111,5,298.87613,SAT,1
structured30_auto:SHARED:J040:4f3e54bf6ce93f7c,structured30_auto,30,SHARED,J040,30,136,137,575,106,106,5,349.377818,SAT,1
structured30_auto:SHARED:J040:6365c9a903430c0a,structured30_auto,30,SHARED,J040,30,124,125,531,98,98,5,296.738801,SAT,1
structured30_auto:SHARED:J040:7aba9fb12e621338,structured30_auto,30,SHARED,J040,30,124,125,530,97,97,5,302.165882,SAT,1
structured30_auto:SHARED:J040:90b63833437b75c4,structured30_auto,30,SHARED,J040,30,132,133,577,120,120,7,335.380581,SAT,1
structured30_auto:SHARED:J040:b7747fbd5fad06d5,structured30_auto,30,SHARED,J040,30,126,127,553,114,114,6,309.832555,SAT,1
structured30_auto:SHARED:J040:cad9d75b17feeb02,structured30_auto,30,SHARED,J040,30,138,139,579,104,104,5,352.392447,SAT,1
structured30_auto:SHARED:J040:e82fd19b6aa2aca2,structured30_auto,30,SHARED,J040,30,130,131,559,108,108,5,319.23314400000004,SAT,1
structured30_auto:SHARED:J040:fdcc4b526eb692b1,structured30_auto,30,SHARED,J040,30,124,125,540,107,107,5,299.038332,SAT,1
structured30_auto:SHARED:J100:2052020b308ed48e,structured30_auto,30,SHARED,J100,30,124,125,544,111,111,5,303.150823,SAT,1
structured30_auto:SHARED:J100:6365c9a903430c0a,structured30_auto,30,SHARED,J100,30,124,125,531,98,98,5,299.365203,SAT,1
structured30_auto:SHARED:J100:7aba9fb12e621338,structured30_auto,30,SHARED,J100,30,124,125,530,97,97,5,298.12206000000003,SAT,1
structured30_auto:SHARED:J100:b7747fbd5fad06d5,structured30_auto,30,SHARED,J100,30,126,127,553,114,114,6,314.97069500000003,SAT,1
structured40_auto:P0,structured40_auto,40,P0,,40,164,165,749,176,176,7,518.502664,SAT,3
