HNF_count,HNF_set_sha,cover_excess,is_minimum_vertex_cover,is_vertex_cover,mode_or_policy,scenario,source_experiment
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:16,M_RING,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:17,M_RING,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:18,M_RING,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:19,M_RING,exp18d
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:2,M_RING,exp18d
4,a4aa6348e2cbde473424d5af738b0a3d75431f73c1c514f2f7ff7a30fc600e3e,0,True,True,SEEDED_TIEBREAK:20,M_RING,exp18d
4,0068370bccbdc3efd4f779f95b56f399e3715809bb23aa51214b9a2107a321c3,0,True,True,SEEDED_TIEBREAK:21,M_RING,exp18d
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:22,M_RING,exp18d
4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,0,True,True,SEEDED_TIEBREAK:23,M_RING,exp18d
4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,0,True,True,SEEDED_TIEBREAK:24,M_RING,exp18d
4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,0,True,True,SEEDED_TIEBREAK:25,M_RING,exp18d
4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,0,True,True,SEEDED_TIEBREAK:26,M_RING,exp18d
4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,0,True,True,SEEDED_TIEBREAK:27,M_RING,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:28,M_RING,exp18d
