density,fixed_release,fixed_release_parity,flow_id,flow_kind,frame_size,frame_size_parity,frames_per_hyper_cycle,parity_pass,period_parity,period_ticks,relative_deadline_parity,relative_deadline_ticks,release_offset_parity,release_offset_ticks,scenario,transmission_ticks,transmission_ticks_parity,upstream_input
D070,True,True,COORD_CC_C07_PLC_C07_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,3959,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C08_PLC_C08_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,5725,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C08_PLC_C08_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,865,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_NEXT_CC_C01,InterCellNext,5875,True,1,True,True,80000,True,60000,True,4715,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_NEXT_CC_C02,InterCellNext,5875,True,1,True,True,80000,True,60000,True,3301,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_NEXT_CC_C03,InterCellNext,5875,True,1,True,True,80000,True,60000,True,10625,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_NEXT_CC_C04,InterCellNext,5875,True,1,True,True,80000,True,60000,True,13065,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_NEXT_CC_C07,InterCellNext,5875,True,1,True,True,80000,True,60000,True,10830,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_PREV_CC_C03,InterCellPrevious,5875,True,1,True,True,80000,True,60000,True,6483,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_PREV_CC_C04,InterCellPrevious,5875,True,1,True,True,80000,True,60000,True,2343,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
