CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_ms,H2S_scheduled_count,H2S_status,actual_global_density,actual_global_density_decimal,candidate_vector_sha,density_tag,expected_instances,formal_HNF_count,formal_complete,formal_scheduled_count,formal_status,input_integrity_pass,instance_completion_sha,on_wire_bytes_per_hyperperiod,original_TT_count,peak_RSS,repeat,retained_TT_count,rho_decimal,rho_den,rho_num,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,148.659881,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,154.815244,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,202c21a2a1fdf9b2ef7eac113ad986d2034bf6b9beaa057cccd022418e1f1220,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,c9b5b39c115c1230f2e695920e790f457d1da19872c13c025f79624bb14468cd,1244288,928,40050688,1,832,0.9,10,9,L,L_RING,False,RING,1409.334007,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,153.123817,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,152.130224,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,202c21a2a1fdf9b2ef7eac113ad986d2034bf6b9beaa057cccd022418e1f1220,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,c9b5b39c115c1230f2e695920e790f457d1da19872c13c025f79624bb14468cd,1244288,928,40050688,2,832,0.9,10,9,L,L_RING,False,RING,1369.467447,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,421.34488,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,427.264945,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,0dd3a043274e873bc24d68365f47d0ae7a3cb03b7310adecc7bc5230e572491b,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,5e0604d68f4b450af2b819a3023ba856ca85495280df5e43100937df99a35707,1244288,928,47800320,1,832,0.9,10,9,L,L_REDSTAR,False,REDSTAR,2536.044262,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,424.889065,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,418.214382,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,0dd3a043274e873bc24d68365f47d0ae7a3cb03b7310adecc7bc5230e572491b,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,5e0604d68f4b450af2b819a3023ba856ca85495280df5e43100937df99a35707,1244288,928,47800320,2,832,0.9,10,9,L,L_REDSTAR,False,REDSTAR,2509.895146,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,328.817923,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,341.497705,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,4c880a3a8d830cae77e762b8c490b826236d5a759f55fc577fc44186dd0b302a,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,a57ceb192224f0db974115b7c44c2ade252208c9bd278eb7a33d1b4d4e6e7a89,1244288,928,38805504,1,832,0.9,10,9,L,L_ROR,False,ROR,1783.502221,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,334.003986,819,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,330.212809,819,HEURISTIC_NOT_FOUND,832/928,0.8965517241379310344827586207,4c880a3a8d830cae77e762b8c490b826236d5a759f55fc577fc44186dd0b302a,D090,8650,13,False,819,HEURISTIC_NOT_FOUND,True,a57ceb192224f0db974115b7c44c2ade252208c9bd278eb7a33d1b4d4e6e7a89,1244288,928,38846464,2,832,0.9,10,9,L,L_ROR,False,ROR,1730.089116,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,55.630661,293,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,57.125243,293,HEURISTIC_NOT_FOUND,295/352,0.8380681818181818181818181818,bd25776754c4bfce69a218689da8081fbafd984818e2891f50f9ff3eac5a7037,D085,3048,2,False,293,HEURISTIC_NOT_FOUND,True,38cfb5408ed0453de5ebb20ca9942e68a0f8faa0d14b01940472eb4e11d08a49,439296,352,17375232,1,295,0.85,20,17,M,M_RING,False,RING,270.863656,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,55.753891,293,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,56.624376,293,HEURISTIC_NOT_FOUND,295/352,0.8380681818181818181818181818,bd25776754c4bfce69a218689da8081fbafd984818e2891f50f9ff3eac5a7037,D085,3048,2,False,293,HEURISTIC_NOT_FOUND,True,38cfb5408ed0453de5ebb20ca9942e68a0f8faa0d14b01940472eb4e11d08a49,439296,352,17375232,2,295,0.85,20,17,M,M_RING,False,RING,276.174684,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,86.372561,293,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,84.059912,293,HEURISTIC_NOT_FOUND,295/352,0.8380681818181818181818181818,9b8538a52f5fd931d58aed5c8de688b87a2b9c60f8f0d498980661374388b35e,D085,3048,2,False,293,HEURISTIC_NOT_FOUND,True,f303c1f50ff22563b27cafdd66896fc2ec2d3505d231d50f68fe546b57318984,439296,352,20262912,1,295,0.85,20,17,M,M_REDSTAR,False,REDSTAR,448.27303,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,81.46649,293,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,84.137679,293,HEURISTIC_NOT_FOUND,295/352,0.8380681818181818181818181818,9b8538a52f5fd931d58aed5c8de688b87a2b9c60f8f0d498980661374388b35e,D085,3048,2,False,293,HEURISTIC_NOT_FOUND,True,f303c1f50ff22563b27cafdd66896fc2ec2d3505d231d50f68fe546b57318984,439296,352,20262912,2,295,0.85,20,17,M,M_REDSTAR,False,REDSTAR,455.83269,True
