HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,2,5,4,M_REDSTAR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,2,5,4,M_REDSTAR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,1,5,4,M_ROR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,1,5,4,M_ROR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,2,5,4,M_ROR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,2,5,4,M_ROR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,1,5,4,L_RING
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,1,5,4,L_RING
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,2,5,4,L_RING
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,2,5,4,L_RING
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,1,5,4,L_REDSTAR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,1,5,4,L_REDSTAR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,2,5,4,L_REDSTAR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,2,5,4,L_REDSTAR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,1,5,4,L_ROR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,1,5,4,L_ROR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,H2S,D080,2,5,4,L_ROR
9,cd27c208b6a78d072ad5b0ca8c9a1da443deb82c300af42b1dec1b17fb8a7d7b,CELF,D080,2,5,4,L_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,1,10,7,M_RING
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,2,10,7,M_RING
