density_tag,derived_scenario_path,derived_scenario_sha,dropped_flow_count,integrity_pass,non_TT_population_semantic_diff_count,retained_TT_count,retained_flow_attribute_diff_count,retained_flow_set_sha,rho_den,rho_num,scenario,source_scenario_sha,topology_sha_derived,topology_sha_source,unexpected_retained_or_dropped,workload_sha
D060,results/tt_workload_density_calibration/derived_scenarios/L_RING_D060/scenario.json,9ec20345a69f2ea4327a09eefc052cf7b600dd3651338f631b3017b01eb4e7c0,375,True,0,553,0,e25e86b3f57488ff6806677f1378065927489e403ea4e12366389f2c16682578,5,3,L_RING,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,,6d96da3f15003c7bdb51cdbb9c039a64eadfe5a4ed622507178c92d66937b153
D050,results/tt_workload_density_calibration/derived_scenarios/L_RING_D050/scenario.json,ed28460c5091090d0f30120caaee87532b351c12f5c45769e87f0a9fe49b0b3d,464,True,0,464,0,1dbf3a252146e029ceb01a99cb6cdbc7800c686c17a0c41b10c6d1533edab7c6,2,1,L_RING,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,,9efe6da6ca89328b7339adcff3c7a06146aa32a6c186f985ae7bcff77dd8a05f
D100,results/realistic_tsn_pf_cost/scenarios/L_REDSTAR.json,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,0,True,0,928,0,3bea3a8b1390a41c38b4dae29f4f287dcd9aefd1cc2b883c3c174b53a5760f89,1,1,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,879db91e7bfaaf73d70aef96533da983700de939cfad0480f66dae6738ce07ff
D095,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D095/scenario.json,c80eccde12d27f99079d4d85757dda48c0b326fd1b6395093e058514ac024e03,49,True,0,879,0,c5fb53cc85b265bd30827234b35a70aa06d70a99b8db83e110cec2247687bd6b,20,19,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,4c84520bfb65de285807704dd6e9d0ebfdfdebae35774f52b6f989e82358ef3f
D090,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D090/scenario.json,f4f809c88f445cc42f2b80cfc3269e11d9334dda89ffd7348f34ec275fa8c022,96,True,0,832,0,bb5bc24b3069abaa29e2f07f8ec3dacd7d0946b1b80c8a02d049fd0a35d4315b,10,9,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,f9a49089c704dc78e534f23a05d103e27e0cdf5130c361b6147ee0a5c355ac68
D085,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D085/scenario.json,30b59a428880826ab0cac53f99cbf517a4cdf0105bbf793190bc153d4bf04313,143,True,0,785,0,268941f240f7da793426f441e7a8bd672e4dc79346f4ffcf74bbbe5550011a6a,20,17,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,a9aba642d20071fcef633201c56f4e88285f9f81a2487a9d0f6252ce72ed129c
D080,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D080/scenario.json,c44dc4c5f9025b18d2291c5175508b69a937387a5969f8c91a22cc658deb2d4e,190,True,0,738,0,c215b8271c3557e3f84bc64449eae05ce5489a34f60845d7688bd91638f705d2,5,4,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,daebc9175c443ded036c144f842dfabec0291701b385fc621b0fb248a9cfcd92
D070,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D070/scenario.json,8eb485829cf5cbd43f93c5f1ab8d298b9172e828b65989d5272fabc39171e94c,281,True,0,647,0,5a54c0eea68655a2ad14b958338d3d60cc0b8cf18136bb091d8712c164473674,10,7,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,16c5578c64af34c40ba62cbd540c7f2759729cc9decf6166060897340d3ab0e9
D060,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D060/scenario.json,b02b356a90c97cbd7954e626adc900e1ebc6a8c4413014e66b24e8667a9c2b4d,375,True,0,553,0,e25e86b3f57488ff6806677f1378065927489e403ea4e12366389f2c16682578,5,3,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,6d96da3f15003c7bdb51cdbb9c039a64eadfe5a4ed622507178c92d66937b153
D050,results/tt_workload_density_calibration/derived_scenarios/L_REDSTAR_D050/scenario.json,74fa16b714c8a19bf26f966ca90f2e96c51051dc1226f44982edf6fa0f6ac152,464,True,0,464,0,1dbf3a252146e029ceb01a99cb6cdbc7800c686c17a0c41b10c6d1533edab7c6,2,1,L_REDSTAR,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,,9efe6da6ca89328b7339adcff3c7a06146aa32a6c186f985ae7bcff77dd8a05f
