CELF_attempted,CELF_ms,CELF_scheduled_count,CELF_status,H2S_ms,H2S_scheduled_count,H2S_status,HNF_count,HNF_set_sha,P0_complete,alpha,alpha_decimal,alpha_den,alpha_num,complete_instances,expected_instances,formal_algorithm,formal_scheduled_count,formal_status,instance_completion_sha,missing_instances,peak_RSS,repeat,scale,scenario,scheduled_ratio,static_checker,topology,total_flows,upstream_verifier
True,356.587371,914,PARTIAL_SCHEDULE,358.670677,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42655744,1,L,L_ROR,0.9849137931034483,False,ROR,928,True
True,357.371678,914,PARTIAL_SCHEDULE,369.291664,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42655744,2,L,L_ROR,0.9849137931034483,False,ROR,928,True
True,64.814839,348,PARTIAL_SCHEDULE,70.626842,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19312640,1,M,M_RING,0.9886363636363636,False,RING,352,True
True,62.206844,348,PARTIAL_SCHEDULE,63.743435,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19456000,2,M,M_RING,0.9886363636363636,False,RING,352,True
True,93.282206,348,PARTIAL_SCHEDULE,94.878507,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23068672,1,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,93.025806,348,PARTIAL_SCHEDULE,94.159379,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,2,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,95.729265,348,PARTIAL_SCHEDULE,87.73051,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19120128,1,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,91.890387,348,PARTIAL_SCHEDULE,92.083711,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,5/4,1.25,4,5,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19120128,2,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,163.516247,914,PARTIAL_SCHEDULE,180.610286,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,5/4,1.25,4,5,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,1,L,L_RING,0.9849137931034483,False,RING,928,True
True,160.430296,914,PARTIAL_SCHEDULE,170.415434,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,5/4,1.25,4,5,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,2,L,L_RING,0.9849137931034483,False,RING,928,True
